date;India;France;US;Germany
2020-01-22;0;0;1;0
2020-01-23;0;0;1;0
2020-01-24;0;2;2;0
2020-01-25;0;3;2;0
2020-01-26;0;3;5;0
2020-01-27;0;3;5;1
2020-01-28;0;4;5;4
2020-01-29;0;5;6;4
2020-01-30;1;5;6;4
2020-01-31;1;5;8;5
2020-02-01;1;6;8;8
2020-02-02;2;6;8;10
2020-02-03;3;6;11;12
2020-02-04;3;6;11;12
2020-02-05;3;6;11;12
2020-02-06;3;6;12;12
2020-02-07;3;6;12;13
2020-02-08;3;11;12;13
2020-02-09;3;11;12;14
2020-02-10;3;11;12;14
2020-02-11;3;11;13;16
2020-02-12;3;11;13;16
2020-02-13;3;11;14;16
2020-02-14;3;11;14;16
2020-02-15;3;12;14;16
2020-02-16;3;12;14;16
2020-02-17;3;12;14;16
2020-02-18;3;12;14;16
2020-02-19;3;12;14;16
2020-02-20;3;12;14;16
2020-02-21;3;12;16;16
2020-02-22;3;12;16;16
2020-02-23;3;12;16;16
2020-02-24;3;12;16;16
2020-02-25;3;14;16;16
2020-02-26;3;18;16;21
2020-02-27;3;38;17;26
2020-02-28;3;57;17;53
2020-02-29;3;100;25;66
2020-03-01;3;130;32;117
2020-03-02;5;191;55;150
2020-03-03;5;212;74;188
2020-03-04;28;288;107;240
2020-03-05;30;426;184;349
2020-03-06;31;616;237;534
2020-03-07;34;948;403;684
2020-03-08;39;1125;519;847
2020-03-09;43;1411;594;1112
2020-03-10;56;1783;782;1296
2020-03-11;62;2293;1147;1567
2020-03-12;73;2293;1586;2369
2020-03-13;82;3681;2219;3062
2020-03-14;102;4496;2978;3795
2020-03-15;113;4532;3212;4838
2020-03-16;119;6683;4679;6012
2020-03-17;142;7715;6512;7156
2020-03-18;156;9124;9169;8198
2020-03-19;194;10970;13663;10999
2020-03-20;244;12758;20030;13957
2020-03-21;330;14463;26025;16662
2020-03-22;396;16761;34944;18610
2020-03-23;499;20120;46096;22672
2020-03-24;536;22372;56714;27436
2020-03-25;657;25331;68841;31554
2020-03-26;727;29252;86662;36508
2020-03-27;887;33045;105253;42288
2020-03-28;987;37693;127417;48582
2020-03-29;1024;40296;143544;52547
2020-03-30;1251;44645;165698;57298
2020-03-31;1397;52281;192079;61913
2020-04-01;1998;57125;223254;67366
2020-04-02;2543;59227;255530;73522
2020-04-03;2567;64452;287931;79696
2020-04-04;3082;47376;319776;85778
2020-04-05;3588;48225;349016;91714
2020-04-06;4778;50884;380798;95391
2020-04-07;5311;47395;410834;99225
2020-04-08;5916;51250;441897;103228
2020-04-09;6725;55034;477507;108202
2020-04-10;7598;56600;511790;113525
2020-04-11;8446;58045;540714;117658
2020-04-12;9205;108792;567022;120479
2020-04-13;10453;111933;594165;123016
2020-04-14;11487;129381;622493;125098
2020-04-15;12322;132588;648390;127584
2020-04-16;13430;145166;678028;130450
2020-04-17;14352;147057;711135;133830
2020-04-18;15722;150861;738464;137439
2020-04-19;17615;151955;763886;139897
2020-04-20;18539;154402;793970;141672
2020-04-21;20080;157068;820045;143457
2020-04-22;21370;158867;849926;145694
2020-04-23;23077;157158;881891;148046
2020-04-24;24530;159969;913856;150383
2020-04-25;26283;161647;944770;152438
2020-04-26;27890;162280;970741;154175
2020-04-27;29451;165966;995391;155193
2020-04-28;31324;169098;1019964;156337
2020-04-29;33062;167643;1046816;157641
2020-04-30;34863;168861;1076518;159119
2020-05-01;37257;169387;1111410;160758
2020-05-02;39699;170179;1138174;161703
2020-05-03;42505;170540;1161907;162496
2020-05-04;46437;171102;1185709;163175
2020-05-05;49400;172219;1209727;163860
2020-05-06;52987;176355;1234209;164807
2020-05-07;56351;177096;1261948;166091
2020-05-08;59695;177627;1289131;167300
2020-05-09;62808;178155;1313585;168551
2020-05-10;67161;178404;1332332;169218
2020-05-11;70768;178719;1351409;169575
2020-05-12;74292;179472;1374790;170508
2020-05-13;78055;179993;1394805;171306
2020-05-14;81997;180635;1420695;172239
2020-05-15;85784;181148;1445546;173152
2020-05-16;90648;181563;1469596;173772
2020-05-17;95698;181703;1488325;174355
2020-05-18;100328;182147;1510633;174697
2020-05-19;106475;182648;1531136;175210
2020-05-20;112028;183129;1553962;176007
2020-05-21;118226;183396;1579114;176752
2020-05-22;124794;184152;1602943;177212
2020-05-23;131423;184698;1623132;177850
2020-05-24;138536;184259;1643306;178281
2020-05-25;144950;184584;1662400;178570
2020-05-26;150793;184839;1681126;179002
2020-05-27;158086;185012;1699889;179364
2020-05-28;165386;188355;1721156;179717
2020-05-29;173491;188949;1746238;180458
2020-05-30;181827;190743;1769318;181196
2020-05-31;190609;190975;1788237;181482
2020-06-01;198370;191382;1806077;181815
2020-06-02;207191;190735;1826167;182028
2020-06-03;216824;187509;1845323;182370
2020-06-04;226713;191869;1873257;182764
2020-06-05;236184;192450;1899697;183271
2020-06-06;246622;193022;1919966;183678
2020-06-07;257486;193363;1937792;183979
2020-06-08;265928;193637;1954692;184193
2020-06-09;276146;194190;1975013;184543
2020-06-10;286605;194815;1996731;184861
2020-06-11;297535;195179;2019009;185416
2020-06-12;308993;195980;2044567;185674
2020-06-13;320922;196477;2068724;186022
2020-06-14;332424;196867;2087625;186269
2020-06-15;343091;197003;2108624;186461
2020-06-16;354065;197666;2133173;186839
2020-06-17;366946;198155;2160223;187184
2020-06-18;380532;198741;2188450;187764
2020-06-19;395048;199528;2219504;188534
2020-06-20;410451;200147;2251330;189135
2020-06-21;425282;200490;2277166;189822
2020-06-22;440215;200632;2306967;190359
2020-06-23;456183;201330;2345696;190862
2020-06-24;473105;201598;2381947;191449
2020-06-25;490401;201853;2421246;192079
2020-06-26;508953;203116;2470292;192556
2020-06-27;528859;203564;2511046;193243
2020-06-28;548318;203157;2553971;193499
2020-06-29;566840;203802;2595266;193761
2020-06-30;585481;204244;2645090;194259
2020-07-01;604641;205234;2694213;194725
2020-07-02;625544;205773;2749156;195228
2020-07-03;648315;206312;2800660;195674
2020-07-04;673165;206670;2846606;196096
2020-07-05;697413;206682;2900334;196335
2020-07-06;719664;207700;2943499;196554
2020-07-07;742417;208154;3000730;196944
2020-07-08;767296;208976;3061036;197341
2020-07-09;793802;209420;3120692;197783
2020-07-10;820916;210135;3189551;198178
2020-07-11;849522;210386;3249990;198556
2020-07-12;878254;210402;3310122;198804
2020-07-13;906752;211825;3369486;198963
2020-07-14;936181;211887;3435148;199375
2020-07-15;968857;212614;3501174;199726
2020-07-16;1003832;213183;3571988;200260
2020-07-17;1039084;214009;3638460;200843
2020-07-18;1077781;214174;3702782;201372
2020-07-19;1118206;214178;3761714;201574
2020-07-20;1155338;216089;3822377;201823
2020-07-21;1193078;216684;3890571;202345
2020-07-22;1238798;217605;3958116;202799
2020-07-23;1288108;218841;4026001;203368
2020-07-24;1337024;219932;4101148;204183
2020-07-25;1385635;220016;4165348;204964
2020-07-26;1435616;220020;4221187;205269
2020-07-27;1480073;222508;4280911;205609
2020-07-28;1531669;223072;4345741;206242
2020-07-29;1581963;224542;4409869;206926
2020-07-30;1634746;225936;4479110;207828
2020-07-31;1695988;227239;4543686;208698
2020-08-01;1750723;227301;4601264;209653
2020-08-02;1803695;227304;4648373;209893
2020-08-03;1855745;230665;4690057;210402
2020-08-04;1908254;231636;4751714;211281
2020-08-05;1964536;233344;4806062;212022
2020-08-06;2027074;234945;4866241;213067
2020-08-07;2088611;237332;4926828;214214
2020-08-08;2153010;237402;4990761;215336
2020-08-09;2215074;237408;5045028;215891
2020-08-10;2268675;242168;5096645;216327
2020-08-11;2329638;243576;5153600;217293
2020-08-12;2396637;246180;5208844;218519
2020-08-13;2461190;248850;5260500;219964
2020-08-14;2525922;251764;5330625;221413
2020-08-15;2589952;254974;5383019;222828
2020-08-16;2647663;257994;5417681;223453
2020-08-17;2702681;258629;5455530;224014
2020-08-18;2767253;260748;5500432;225404
2020-08-19;2836925;264535;5546315;226914
2020-08-20;2905825;269335;5591443;228621
2020-08-21;2975701;274289;5639034;230048
2020-08-22;3044940;277763;5684707;232082
2020-08-23;3106348;282498;5716618;232864
2020-08-24;3167323;284474;5750541;233575
2020-08-25;3224547;288067;5793214;234853
2020-08-26;3310234;288354;5835287;236429
2020-08-27;3387500;299580;5885805;237936
2020-08-28;3463972;307205;5932275;239507
2020-08-29;3542733;312665;5975378;240986
2020-08-30;3621245;318047;6009509;241771
2020-08-31;3691166;321160;6042871;242381
2020-09-01;3769523;326264;6084849;243599
2020-09-02;3853406;333351;6124810;244855
2020-09-03;3936747;340473;6169951;246166
2020-09-04;4023179;349333;6218285;247619
2020-09-05;4113811;357927;6261908;248997
2020-09-06;4204613;364943;6291027;249985
2020-09-07;4280422;369209;6315590;250799
2020-09-08;4370128;375947;6342334;252298
2020-09-09;4465863;384546;6375972;253474
2020-09-10;4562414;394308;6415420;255366
2020-09-11;4659984;403837;6460043;256850
2020-09-12;4754356;415174;6505626;258480
2020-09-13;4846427;421519;6545917;259428
2020-09-14;4930236;427839;6578481;260355
2020-09-15;5020359;435665;6615659;261762
2020-09-16;5118253;445932;6653951;263663
2020-09-17;5214677;456171;6699270;265857
2020-09-18;5308014;469404;6749454;267773
2020-09-19;5400619;482964;6795232;270070
2020-09-20;5487580;493500;6836842;271415
2020-09-21;5562663;499039;6868885;272337
2020-09-22;5646010;509123;6907156;274158
2020-09-23;5732518;522355;6948276;275927
2020-09-24;5818570;538264;6997159;278070
2020-09-25;5903932;554368;7044295;280223
2020-09-26;5992532;568588;7087842;282730
2020-09-27;6074702;579223;7121621;284140
2020-09-28;6145291;583522;7159361;285332
2020-09-29;6225763;591527;7201394;287421
2020-09-30;6312584;605893;7240025;289219
2020-10-01;6394068;618918;7286269;291722
2020-10-02;6473544;631354;7339712;294395
2020-10-03;6549373;647868;7388993;296958
2020-10-04;6623815;660372;7422124;299237
2020-10-05;6685082;666011;7459481;300619
2020-10-06;6757131;677321;7504026;303258
2020-10-07;6835655;696274;7553163;306086
2020-10-08;6906151;713676;7611053;310144
2020-10-09;6979423;734707;7666132;314660
2020-10-10;7053806;761384;7721498;319381
2020-10-11;7120538;777378;7768398;322864
2020-10-12;7175880;786590;7810478;325331
2020-10-13;7239389;800216;7860601;329453
2020-10-14;7307097;823181;7919043;334585
2020-10-15;7370468;852938;7982580;341223
2020-10-16;7432680;878572;8052754;348557
2020-10-17;7494551;910711;8107586;356387
2020-10-18;7550273;940548;8159756;361974
2020-10-19;7597063;954838;8227638;366299
2020-10-20;7651107;975214;8289375;373167
2020-10-21;7706946;1002624;8350081;380762
2020-10-22;7761312;1043437;8429703;392049
2020-10-23;7814682;1086286;8511363;403291
2020-10-24;7864811;1131551;8589738;418005
2020-10-25;7909959;1138167;8650713;429181
2020-10-26;7946429;1211177;8715277;437866
2020-10-27;7990322;1245635;8792500;449275
2020-10-28;8040203;1283185;8878977;464239
2020-10-29;8088851;1329821;8970270;481013
2020-10-30;8137119;1379295;9070119;499694
2020-10-31;8184082;1414396;9157462;518753
2020-11-01;8229313;1460575;9235292;532930
2020-11-02;8267623;1566666;9317099;545027
2020-11-03;8313876;1639267;9441865;560379
2020-11-04;8364086;1593146;9542127;577593
2020-11-05;8411724;1650966;9670208;597583
2020-11-06;8462080;1711918;9797264;619089
2020-11-07;8507754;1798573;9924328;642488
2020-11-08;8553657;1837135;10044001;658505
2020-11-09;8591730;1858559;10160957;671868
2020-11-10;8636011;1881172;10297509;687200
2020-11-11;8683916;1917578;10445191;705687
2020-11-12;8728795;1950136;10603987;727553
2020-11-13;8773479;1974271;10783505;751095
2020-11-14;8814579;2006228;10947555;773556
2020-11-15;8845127;2033420;11087270;790503
2020-11-16;8874290;2043470;11240358;801327
2020-11-17;8912907;2089073;11405005;815746
2020-11-18;8958483;2117917;11576974;833307
2020-11-19;9004365;2138706;11769275;855916
2020-11-20;9050597;2161970;11970944;879564
2020-11-21;9095806;2179640;12150764;902528
2020-11-22;9139865;2192770;12297351;918269
2020-11-23;9177840;2197832;12478863;929133
2020-11-24;9222216;2207753;12652425;942687
2020-11-25;9266705;2224508;12832637;961320
2020-11-26;9309787;2237509;12949887;983588
2020-11-27;9351109;2250283;13164521;1006394
2020-11-28;9392919;2262760;13332745;1028089
2020-11-29;9431691;2272523;13473097;1042700
2020-11-30;9462809;2276830;13628010;1053869
2020-12-01;9499413;2285273;13825126;1067473
2020-12-02;9534964;2299501;14021289;1084743
2020-12-03;9571559;2312288;14241511;1106789
2020-12-04;9608211;2323799;14476881;1130238
2020-12-05;9644222;2336681;14698891;1153556
2020-12-06;9677203;2347630;14878215;1171323
2020-12-07;9703770;2351041;15073675;1183655
2020-12-08;9735850;2365085;15300732;1197709
2020-12-09;9767371;2379760;15516739;1218524
2020-12-10;9796744;2393632;15753683;1242203
2020-12-11;9826775;2407121;15992585;1272078
2020-12-12;9857029;2421068;16217120;1300516
2020-12-13;9884100;2432601;16408717;1320716
2020-12-14;9906165;2435793;16618545;1337078
2020-12-15;9932547;2447518;16844860;1351510
2020-12-16;9956557;2465238;17079664;1379238
2020-12-17;9979447;2483636;17319910;1406161
2020-12-18;10004599;2499511;17567856;1439938
2020-12-19;10031223;2516939;17773707;1471238
2020-12-20;10055560;2529797;17960902;1494009
2020-12-21;10075116;2535757;18157760;1510652
2020-12-22;10099066;2547618;18363690;1530180
2020-12-23;10123778;2562604;18585131;1554920
2020-12-24;10146845;2584322;18798079;1587115
2020-12-25;10169118;2604584;18925257;1612648
2020-12-26;10187850;2607677;19142697;1627103
2020-12-27;10207871;2616544;19278658;1640858
2020-12-28;10224303;2619650;19451960;1651834
2020-12-29;10244852;2631144;19657932;1664726
2020-12-30;10266674;2657658;19876229;1687185
2020-12-31;10286709;2677660;20191317;1719737
2021-01-01;10305788;2697018;20370219;1742661
2021-01-02;10323965;2700484;20642498;1755351
2021-01-03;10340469;2712975;20845899;1765666
2021-01-04;10356844;2717059;21031401;1775513
2021-01-05;10374932;2737892;21264264;1787410
2021-01-06;10395278;2763078;21524025;1808647
2021-01-07;10413417;2784845;21810269;1835038
2021-01-08;10413417;2804705;22114335;1866887
2021-01-09;10450284;2824882;22379073;1891581
2021-01-10;10466595;2840826;22589916;1908527
2021-01-11;10479179;2844642;22793880;1921024
2021-01-12;10495147;2864399;23015693;1933826
2021-01-13;10512093;2888331;23245023;1953426
2021-01-14;10527683;2909666;23480601;1978590
2021-01-15;10542841;2930983;23725599;2000958
2021-01-16;10557985;2952392;23943288;2019636
2021-01-17;10571773;2969034;24119842;2033518
2021-01-18;10581823;2972832;24260670;2040659
2021-01-19;10595639;2996855;24417565;2052028
2021-01-20;10610883;3023613;24604947;2068002
2021-01-21;10625428;3046323;24797500;2088400
2021-01-22;10639684;3069647;24989275;2106262
2021-01-23;10654533;3093740;25167450;2122679
2021-01-24;10667736;3112176;25307594;2134936
2021-01-25;10676838;3116477;25437194;2141665
2021-01-26;10689527;3138619;25588202;2148077
2021-01-27;10701193;3165570;25743658;2161275
2021-01-28;10720048;3189378;25910418;2178828
2021-01-29;10733130;3212613;26074161;2192850
2021-01-30;10746174;3236658;26225101;2205171
2021-01-31;10757610;3255994;26337959;2216363
2021-02-01;10766245;3260382;26463273;2221971
2021-02-02;10777284;3283719;26580303;2228085
2021-02-03;10790183;3310125;26704675;2237790
2021-02-04;10802591;3310145;26829704;2252001
2021-02-05;10814304;3355752;26960815;2264909
2021-02-06;10826363;3376340;27077675;2275394
2021-02-07;10838194;3396055;27167104;2284010
2021-02-08;10847304;3400398;27249903;2288545
2021-02-09;10858371;3419418;27345284;2291924
2021-02-10;10871294;3444827;27440567;2299996
2021-02-11;10880603;3465903;27547339;2310233
2021-02-12;10892746;3486612;27647919;2320093
2021-02-13;10904940;3507843;27738677;2328447
2021-02-14;10916589;3524518;27806985;2334561
2021-02-15;10925710;3528924;27862433;2338987
2021-02-16;10937320;3548520;27921655;2342843
2021-02-17;10950201;3573560;27990500;2350399
2021-02-18;10963394;3596078;28063080;2360606
2021-02-19;10977387;3620205;28138238;2369719
2021-02-20;10991651;3642576;28212021;2378883
2021-02-21;11005850;3664622;28267286;2386559
2021-02-22;11016434;3669276;28322769;2390928
2021-02-23;11030176;3689469;28396629;2394811
2021-02-24;11046914;3720996;28471654;2402818
2021-02-25;11063491;3746410;28548933;2414687
2021-02-26;11079979;3771626;28624353;2424684
2021-02-27;11096731;3795736;28695642;2434446
2021-02-28;11112241;3815688;28747406;2442336
2021-03-01;11124527;3820418;28797846;2447068
2021-03-02;11139516;3843290;28856264;2451011
2021-03-03;11156923;3870101;28923315;2460030
2021-03-04;11173761;3895387;28992258;2471942
2021-03-05;11192045;3918894;29060137;2482522
2021-03-06;11210799;3942286;29121168;2492079
2021-03-07;11229398;3964121;29162779;2500182
2021-03-08;11244786;3969673;29206871;2505193
2021-03-09;11262707;3992853;29262374;2509445
2021-03-10;11285561;4022514;29320146;2518591
2021-03-11;11308846;4050606;29381936;2532947
2021-03-12;11333728;4075681;29444539;2545781
2021-03-13;11359048;4105444;29501359;2558455
2021-03-14;11385339;4131895;29540633;2569245
2021-03-15;11409831;4138369;29591666;2575849
2021-03-16;11438734;4168396;29645733;2581329
2021-03-17;11474605;4206916;29705007;2594764
2021-03-18;11514331;4241990;29767397;2612268
2021-03-19;11555284;4277108;29829029;2629750
2021-03-20;11599130;4312451;29887896;2645783
2021-03-21;11646081;4343115;29923274;2659516
2021-03-22;11686796;4358924;29970698;2667225
2021-03-23;11734058;4373620;30023556;2674710
2021-03-24;11787534;4439011;30111312;2690523
2021-03-25;11846652;4484672;30178939;2713180
2021-03-26;11908910;4526554;30255309;2734753
2021-03-27;11971624;4569179;30319364;2755225
2021-03-28;12039644;4606307;30365684;2772401
2021-03-29;12095855;4615413;30431556;2782273
2021-03-30;12149335;4646136;30493246;2791822
2021-03-31;12221665;4705186;30562776;2808873
2021-04-01;12303131;4755862;30639632;2833173
2021-04-02;12392260;4802545;30713656;2855061
2021-04-03;12485509;4802711;30778536;2873190
2021-04-04;12589067;4883346;30816459;2885386
2021-04-05;12686049;4894139;30883546;2893883
2021-04-06;12801785;4902195;30946372;2900768
2021-04-07;12928574;4903122;31022149;2910445
2021-04-08;13060542;5000155;31102215;2930852
2021-04-09;13205926;5000319;31186968;2956316
2021-04-10;13358805;5001723;31257503;2980413
2021-04-11;13527717;5119625;31304959;2998268
2021-04-12;13689453;5128175;31367142;3011513
2021-04-13;13873825;5167305;31447983;3022323
2021-04-14;14074564;5210812;31523587;3044016
2021-04-15;14291917;5248857;31597569;3073442
2021-04-16;14526609;5285307;31681042;3099273
2021-04-17;14788003;5321180;31736529;3123077
2021-04-18;15061805;5350558;31780358;3142262
2021-04-19;15320972;5357266;31838904;3153699
2021-04-20;15616130;5401341;31901344;3163308
2021-04-21;15930774;5436265;31965690;3188192
2021-04-22;16263695;5469669;32032409;3217710
2021-04-23;16610481;5502009;32095304;3245253
2021-04-24;16960172;5534651;32150276;3268645
2021-04-25;17313163;5559156;32185044;3287418
2021-04-26;17636186;5565113;32227331;3299325
2021-04-27;17997113;5595437;32279613;3310301
2021-04-28;18376421;5626979;32334799;3332532
2021-04-29;18762976;5653526;32393625;3357268
2021-04-30;19164969;5677829;32451727;3381597
2021-05-01;19557457;5703499;32500503;3400532
2021-05-02;19925517;5713420;32531059;3416822
2021-05-03;20282833;5717187;32575681;3425982
2021-05-04;20664979;5741564;32618576;3433516
2021-05-05;21077410;5767568;32664619;3451550
2021-05-06;21491598;5789281;32710798;3473503
2021-05-07;21892676;5808420;32759213;3491988
2021-05-08;22296081;5829199;32794868;3507673
2021-05-09;22662575;5838327;32817738;3520329
